code,pref,name,muni_km2,a51_name,a51_km2,a51_deep_km2,a51_features,sinsui_events,sinsui_events_non_typhoon,sinsui_first_year,sinsui_last_year,sinsui_km2,a51_sinsui_overlap_km2,has_both,a51_covered_by_sinsui
11201,埼玉県,川越市,109.13,川越市,7.69,1.61,36189,4,0,1958.0,1991.0,26.07,2.58,True,0.336
23342,愛知県,西春日井郡豊山町,6.18,豊山町,1.31,0.5,1663,3,1,1974.0,2000.0,1.29,0.8,True,0.616
14218,神奈川県,綾瀬市,22.14,綾瀬市,3.6,1.26,1367,4,0,1966.0,1982.0,1.27,0.69,True,0.191
14201,神奈川県,横須賀市,100.8,横須賀市,4.37,0.76,15080,1,0,1982.0,1982.0,0.15,0.06,True,0.013
01205,北海道,室蘭市,81.01,室蘭市,11.11,0.17,12973,0,0,,,0.0,0.0,False,0.0
01691,北海道,野付郡別海町,1344.66,別海町,3.18,0.0,2343,0,0,,,0.0,0.0,False,0.0
02203,青森県,八戸市,305.56,八戸市,16.49,0.44,2783,0,0,,,0.0,0.0,False,0.0
04209,宮城県,多賀城市,19.69,多賀城市,6.87,2.06,9674,0,0,,,0.0,0.0,False,0.0
10201,群馬県,前橋市,311.59,前橋市,0.79,0.05,3773,0,0,,,0.0,0.0,False,0.0
10210,群馬県,富岡市,122.85,富岡市,0.16,0.0,543,0,0,,,0.0,0.0,False,0.0
12230,千葉県,八街市,74.94,八街市,3.43,1.2,4743,0,0,,,0.0,0.0,False,0.0
13218,東京都,福生市,10.16,福生市,0.49,0.1,194,0,0,,,0.0,0.0,False,0.0
16201,富山県,富山市,1241.76,富山市,1.28,0.03,495,0,0,,,0.0,0.0,False,0.0
16204,富山県,魚津市,200.61,魚津市,2.21,0.05,12747,0,0,,,0.0,0.0,False,0.0
17207,石川県,羽咋市,81.85,羽咋市,3.13,1.45,3126,0,0,,,0.0,0.0,False,0.0
17212,石川県,野々市市,13.56,野々市市,1.97,0.42,18009,0,0,,,0.0,0.0,False,0.0
18204,福井県,小浜市,233.11,小浜市,4.9,0.28,5540,0,0,,,0.0,0.0,False,0.0
20201,長野県,長野市,834.81,長野市,0.49,0.05,1656,0,0,,,0.0,0.0,False,0.0
28481,兵庫県,赤穂郡上郡町,150.26,上郡町,2.72,0.44,885,0,0,,,0.0,0.0,False,0.0
31201,鳥取県,鳥取市,765.31,鳥取市,8.08,1.06,7644,0,0,,,0.0,0.0,False,0.0
32204,島根県,益田市,733.19,益田市,0.61,0.05,302,0,0,,,0.0,0.0,False,0.0
33622,岡山県,勝田郡勝央町,54.05,勝央町,1.48,0.49,4137,0,0,,,0.0,0.0,False,0.0
34100,広島県,広島市,906.69,広島市,2.5,0.03,811,0,0,,,0.0,0.0,False,0.0
35207,山口県,下松市,89.34,下松市,1.27,0.2,3183,0,0,,,0.0,0.0,False,0.0
37386,香川県,綾歌郡宇多津町,8.1,宇多津町,2.27,0.16,2498,0,0,,,0.0,0.0,False,0.0
38207,愛媛県,大洲市,432.12,大洲市,3.78,1.12,936,0,0,,,0.0,0.0,False,0.0
40130,福岡県,福岡市,343.47,福岡市,1.67,0.14,2577,0,0,,,0.0,0.0,False,0.0
40202,福岡県,大牟田市,81.45,大牟田市,17.5,7.27,46998,0,0,,,0.0,0.0,False,0.0
