pref,muni,records,years,first_year,last_year,area_takuchi_km2,yukaue,yukashita,kubochi_records,buildings
宮城県,石巻市,428,9,2010,2022,20.632,631.0,11041.0,1,11672.0
大阪府,守口市,102,3,2012,2016,0.675,649.0,7325.0,0,7974.0
大阪府,寝屋川市,18,4,2010,2014,0.483,1241.0,5249.0,1,6490.0
福岡県,久留米市,169,8,2010,2023,43.174,2189.0,3903.0,0,6092.0
秋田県,秋田市,621,12,2010,2023,10.484,1881.0,3692.0,0,5573.0
福岡県,小郡市,73,6,2010,2023,7.473,4612.0,324.0,0,4936.0
岡山県,倉敷市,379,10,2010,2022,0.67,623.0,4160.0,8,4783.0
佐賀県,佐賀市,109,8,2010,2023,5.757,656.0,3887.0,3,4543.0
兵庫県,高砂市,142,1,2011,2011,110.514,1033.0,3312.0,0,4345.0
岡山県,岡山市北区,219,7,2010,2022,10.676,1258.0,2882.0,0,4140.0
新潟県,三条市,284,6,2010,2018,1.346,2337.0,1625.0,0,3962.0
京都府,福知山市,104,6,2013,2023,0.664,1579.0,2281.0,4,3860.0
岡山県,岡山市南区,164,5,2010,2018,2.747,91.0,3611.0,0,3702.0
大阪府,枚方市,65,1,2012,2012,0.467,297.0,3274.0,0,3571.0
新潟県,長岡市,571,5,2010,2019,0.6,894.0,2323.0,1,3217.0
静岡県,静岡市清水区,274,5,2014,2023,10.783,1964.0,1122.0,7,3086.0
埼玉県,越谷市,101,3,2013,2015,9.353,526.0,2548.0,0,3074.0
佐賀県,武雄市,185,9,2010,2021,6.017,1637.0,1021.0,0,2658.0
広島県,福山市,140,10,2010,2021,0.539,1185.0,1358.0,120,2543.0
佐賀県,白石町,225,9,2010,2021,8.608,160.0,2379.0,91,2539.0
大阪府,門真市,47,1,2012,2012,0.187,335.0,2011.0,0,2346.0
愛媛県,宇和島市,76,7,2011,2021,0.084,1230.0,1100.0,0,2330.0
岩手県,宮古市,373,5,2010,2019,6.099,1136.0,1111.0,0,2247.0
京都府,舞鶴市,156,11,2011,2023,1.047,706.0,1523.0,3,2229.0
三重県,伊勢市,168,11,2010,2023,0.556,1318.0,859.0,6,2177.0
京都府,宇治市,70,8,2011,2021,0.969,617.0,1546.0,0,2163.0
栃木県,栃木市,143,6,2011,2019,3.576,411.0,1619.0,0,2030.0
愛知県,名古屋市中村区,38,6,2011,2019,10.864,131.0,1781.0,0,1912.0
埼玉県,春日部市,108,5,2010,2019,0.605,154.0,1559.0,0,1713.0
和歌山県,新宮市,29,6,2010,2022,3.114,864.0,836.0,0,1700.0
宮城県,角田市,255,9,2010,2019,1.877,11.0,1667.0,5,1678.0
兵庫県,姫路市,377,10,2010,2022,0.171,474.0,1167.0,0,1641.0
秋田県,大仙市,386,12,2010,2023,4.114,570.0,933.0,0,1503.0
福島県,郡山市,216,9,2010,2019,2.666,877.0,574.0,14,1451.0
愛知県,名古屋市西区,27,4,2011,2016,10.437,98.0,1341.0,0,1439.0
愛知県,江南市,273,6,2011,2023,1.161,218.0,1143.0,0,1361.0
愛知県,一宮市,193,12,2010,2022,1.216,240.0,1072.0,3,1312.0
愛知県,名古屋市中川区,40,7,2011,2021,12.947,185.0,1123.0,0,1308.0
宮城県,柴田町,97,8,2010,2019,1.344,520.0,749.0,0,1269.0
宮城県,大崎市,256,8,2011,2022,10.209,254.0,988.0,0,1242.0
和歌山県,海南市,94,7,2012,2018,0.897,114.0,1098.0,0,1212.0
京都府,八幡市,2,2,2012,2013,2.099,58.0,1136.0,0,1194.0
佐賀県,小城市,48,8,2010,2021,1.965,461.0,706.0,0,1167.0
栃木県,鹿沼市,143,6,2010,2019,10.149,296.0,838.0,0,1134.0
静岡県,浜松市東区,39,4,2013,2023,8.735,224.0,907.0,0,1131.0
鹿児島県,奄美市,96,4,2010,2015,0.114,322.0,805.0,0,1127.0
和歌山県,和歌山市,118,8,2010,2023,0.765,266.0,859.0,4,1125.0
静岡県,静岡市葵区,219,3,2014,2023,2.253,556.0,535.0,0,1091.0
鹿児島県,瀬戸内町,140,5,2010,2023,0.168,194.0,851.0,0,1045.0
埼玉県,朝霞市,299,10,2010,2020,0.085,414.0,593.0,201,1007.0
福岡県,飯塚市,55,7,2010,2023,1.57,535.0,454.0,0,989.0
和歌山県,有田市,75,11,2011,2023,2.336,213.0,768.0,6,981.0
