pref,muni,code,did_pop,did_pop_pct,urban,urban_naisui,records,years,first_year,last_year,area_takuchi_km2,area_km2,yukaue,yukashita,buildings,buildings_台風,buildings_梅雨前線,buildings_豪雨・その他,buildings_その他,kubochi_records,has_a51,hires_dem_pref
宮城県,石巻市,04202,79830,56.9,True,True,428,9,2010,2022,20.632,114.848,631.0,11041.0,11672.0,10443.0,0.0,1229.0,0.0,1,False,False
大阪府,守口市,27209,143096,100.0,True,True,102,3,2012,2016,0.675,0.675,649.0,7325.0,7974.0,0.0,33.0,7941.0,0.0,0,False,False
大阪府,寝屋川市,27215,227418,99.0,True,True,18,4,2010,2014,0.483,0.483,1241.0,5249.0,6490.0,5.0,20.0,6465.0,0.0,1,False,False
福岡県,久留米市,40203,188872,62.3,True,True,169,8,2010,2023,43.174,138.739,2189.0,3903.0,6092.0,2913.0,1527.0,1652.0,0.0,0,False,False
秋田県,秋田市,05201,245611,79.8,True,True,621,12,2010,2023,10.484,45.664,1881.0,3692.0,5573.0,19.0,4879.0,675.0,0.0,0,False,False
福岡県,小郡市,40216,42100,70.9,True,True,73,6,2010,2023,7.473,40.085,4612.0,324.0,4936.0,1488.0,682.0,2766.0,0.0,0,False,False
岡山県,倉敷市,33202,305435,64.4,True,True,379,10,2010,2022,0.67,0.67,623.0,4160.0,4783.0,4755.0,9.0,19.0,0.0,8,False,False
佐賀県,佐賀市,41201,139060,59.6,True,True,109,8,2010,2023,5.757,30.217,656.0,3887.0,4543.0,0.0,477.0,4066.0,0.0,3,False,False
兵庫県,高砂市,28216,78330,89.3,True,True,142,1,2011,2011,110.514,110.546,1033.0,3312.0,4345.0,4345.0,0.0,0.0,0.0,0,False,True
岡山県,岡山市北区,33101,225885,71.8,True,True,219,7,2010,2022,10.676,10.846,1258.0,2882.0,4140.0,4087.0,30.0,23.0,0.0,0,False,False
新潟県,三条市,15204,51561,54.5,True,True,284,6,2010,2018,1.346,37.486,2337.0,1625.0,3962.0,582.0,135.0,3245.0,0.0,0,False,False
京都府,福知山市,26201,39021,50.5,True,True,104,6,2013,2023,0.664,25.28,1579.0,2281.0,3860.0,1439.0,0.0,2421.0,0.0,4,False,False
岡山県,岡山市南区,33104,111191,66.3,True,True,164,5,2010,2018,2.747,3.402,91.0,3611.0,3702.0,3700.0,2.0,0.0,0.0,0,False,False
大阪府,枚方市,27210,386789,97.4,True,True,65,1,2012,2012,0.467,0.467,297.0,3274.0,3571.0,0.0,0.0,3571.0,0.0,0,False,False
静岡県,静岡市清水区,22103,199667,86.4,True,True,274,5,2014,2023,10.783,11.569,1964.0,1122.0,3086.0,3078.0,0.0,8.0,0.0,7,False,True
埼玉県,越谷市,11222,311178,91.1,True,True,101,3,2013,2015,9.353,9.353,526.0,2548.0,3074.0,3073.0,1.0,0.0,0.0,0,False,False
