rank,pref,pref_code,muni,did_pop_pct,yukaue,yukashita,buildings,takuchi_share,first_year,last_year,years,has_a51,a51_km2,hires_dem_pref,hires_dem,wards,typhoon_share,tsuyu_share,gou_share,etc_share
1,宮城県,4,石巻市,56.9,631.0,11041.0,11672.0,0.17964614098634718,2010,2022,9,False,,False,,,0.8947052775873886,0.0,0.10529472241261138,0.0
2,岡山県,33,岡山市,85.1,1468.0,7614.0,9082.0,0.9399355405801346,2010,2022,7,False,,False,,"北区 4,140、南区 3,702、中区 886、東区 354",0.9915216912574323,0.005505395287381634,0.002972913455186082,0.0
3,大阪府,27,守口市,100.0,649.0,7325.0,7974.0,1.0,2012,2016,3,False,,False,,,0.0,0.004138449962377728,0.9958615500376222,0.0
4,愛知県,23,名古屋市,100.0,642.0,5849.0,6491.0,1.0,2011,2023,7,False,,False,,"中村区 1,912、西区 1,439、中川区 1,308、北区 810…",0.08642736096133108,0.0012324757356339548,0.912340163303035,0.0
5,大阪府,27,寝屋川市,99.0,1241.0,5249.0,6490.0,1.0,2010,2014,4,False,,False,,,0.0007704160246533128,0.0030816640986132513,0.9961479198767335,0.0
6,福岡県,40,久留米市,62.3,2189.0,3903.0,6092.0,0.3111886347746488,2010,2023,8,False,,False,,,0.47816808929743926,0.25065659881812213,0.2711753118844386,0.0
7,秋田県,5,秋田市,79.8,1881.0,3692.0,5573.0,0.22959004905395936,2010,2023,12,False,,False,,,0.003409294814283151,0.8754710209940786,0.12111968419163825,0.0
8,福岡県,40,小郡市,70.9,4612.0,324.0,4936.0,0.18642883871772484,2010,2023,6,False,,False,,,0.3014586709886548,0.13816855753646679,0.5603727714748784,0.0
9,岡山県,33,倉敷市,64.4,623.0,4160.0,4783.0,1.0,2010,2022,10,False,,False,,,0.9941459335145306,0.0018816642274722976,0.003972402257997073,0.0
10,佐賀県,41,佐賀市,59.6,656.0,3887.0,4543.0,0.19052189165039546,2010,2023,8,False,,False,,,0.0,0.1049966982170372,0.8950033017829628,0.0
11,静岡県,22,静岡市,89.2,2684.0,1833.0,4517.0,0.9007123494925298,2011,2023,5,False,,True,DEM 0.5m（点群 LAS）,"清水区 3,086、葵区 1,091、駿河区 331",0.9982289129953509,0.0,0.0017710870046491033,0.0
